url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/ban-dao-tao-huong-dan-thu-tuc-bieu-mau-thac-mac-ve-hoc-tap-hoc-phi,hust-academic-procedures,"[Ban Đào tạo] Hướng dẫn thủ tục, biểu mẫu, thắc mắc về học tập, học phí",student,academic-affairs,student-procedures,vi,2026-07-30,public-official-source
https://sv-ctt.hust.edu.vn/#/so-tay-sv/77/ke-hoach-dao-tao-nam-hoc-2026-2027-va-cac-nam-truoc,hust-training-plan-2026-2027,Kế hoạch đào tạo năm học 2026-2027 và các năm trước,student,academic-affairs,training-plan,vi,2026-07-30,public-official-source
https://sv-ctt.hust.edu.vn/#/so-tay-sv/103/muc-hoc-phi-cac-chuong-trinh-dao-tao-nam-hoc-2025-2026,hust-tuition-2025-2026,Mức học phí các chương trình đào tạo năm học 2025-2026,student,finance,tuition-policy,vi,2026-07-30,public-official-source
https://sv-ctt.hust.edu.vn/#/so-tay-sv/127/ung-dung-ai-notebooklm-trong-hoc-tap-tim-hieu-quy-che,hust-notebooklm-academic-regulations,Ứng dụng (AI) NotebookLM trong Học tập - Tìm hiểu quy chế,student,academic-affairs,academic-support,vi,2026-07-30,public-official-source
https://library.hust.edu.vn/sites/default/files/06.09.2023-%20B%C3%A0i%20gi%E1%BA%A3ng%20C2%20%28K68%29.pdf,hust-ta-quang-buu-library-guide,Hướng dẫn sử dụng Thư viện Tạ Quang Bửu,student,library,library-services,vi,2023-09-06,public-official-source
