doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vnu-career-support,data\vnu_university\vnu-career-support.md,Thông tin tư vấn - hỗ trợ việc làm cho sinh viên của ĐHQGHN,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/tu-van-ho-tro-viec-lam,2026-08-03,2010-2011,public-page
vnu-scholarship-management-policy,data\vnu_university\vnu-scholarship-management-policy.md,Quy định về quản lý và sử dụng học bổng tại Đại học Quốc gia Hà Nội,https://vnu.edu.vn/quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.html,2026-08-03,597/CT-HSSV (2008-01-28); adjusted 2011-2012,public-page
vnu-undergraduate-training-regulation-3626,data\vnu_university\vnu-undergraduate-training-regulation-3626.md,Quy chế đào tạo đại học tại Đại học Quốc gia Hà Nội,https://ysip.vnu.edu.vn/tin-tuc-su-kien/quy-che-dao-tao-dai-hoc-tai-dai-hoc-quoc-gia-ha-noi.html,2026-08-03,3626/QĐ-ĐHQGHN (2022-10-21),public-page
vnu-training-overview,data\vnu_university\vnu-training-overview.md,Giới thiệu chung về công tác đào tạo,https://vnu.edu.vn/dao-tao/gioi-thieu-chung,2026-08-03,not-stated,public-page
vnu-uob-tuition-loan,data\vnu_university\vnu-uob-tuition-loan.md,Vay vốn không lãi suất từ Quỹ UOB để thanh toán học phí,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/vay-von,2026-08-03,2011-2012,public-page
