url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://vnu.edu.vn/dao-tao/gioi-thieu-chung,vnu-training-overview,Giới thiệu chung,all,university-administration,general-information,vi,not-stated,public-page
https://vnu.edu.vn/quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.html,vnu-scholarship-management-regulation,Quy định về quản lý và sử dụng học bổng tại Đại học Quốc gia Hà Nội,student,university-administration,scholarships,vi,not-stated,public-page
https://vnu.edu.vn/dao-tao/dao-tao-he-thcs-va-thpt,vnu-secondary-and-high-school-education,Đào tạo hệ THCS và THPT,student,university-administration,education,vi,not-stated,public-page
https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/vay-von,vnu-student-loans,Hỗ trợ sinh viên vay vốn,student,university-administration,student-support,vi,not-stated,public-page
https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/tu-van-ho-tro-viec-lam,vnu-career-support,Tư vấn hỗ trợ việc làm,student,university-administration,student-support,vi,not-stated,public-page
