doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vnu-gioi-thieu-chung,data/k3_university/vnu-gioi-thieu-chung.md,Giới thiệu chung về công tác đào tạo,https://vnu.edu.vn/dao-tao/gioi-thieu-chung,2026-08-03,1.0,CC BY 4.0
vnu-quy-dinh-hoc-bong,data/k3_university/vnu-quy-dinh-hoc-bong.md,Quy định về quản lý và sử dụng học bổng tại Đại học Quốc gia Hà Nội,https://vnu.edu.vn/quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.html,2026-08-03,1.0,CC BY 4.0
vnu-dao-tao-thcs-thpt,data/k3_university/vnu-dao-tao-thcs-thpt.md,Đào tạo hệ THCS và THPT,https://vnu.edu.vn/dao-tao/dao-tao-he-thcs-va-thpt,2026-08-03,1.0,CC BY 4.0
vnu-ho-tro-vay-von,data/k3_university/vnu-ho-tro-vay-von.md,Hỗ trợ sinh viên vay vốn,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/vay-von,2026-08-03,1.0,CC BY 4.0
vnu-tu-van-viec-lam,data/k3_university/vnu-tu-van-viec-lam.md,Tư vấn hỗ trợ việc làm,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/tu-van-ho-tro-viec-lam,2026-08-03,1.0,CC BY 4.0
