doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hust-academic-procedures,data/k3_university/hust-academic-procedures.md,"[Ban Đào tạo] Hướng dẫn thủ tục, biểu mẫu, thắc mắc về học tập, học phí",https://sv-ctt.hust.edu.vn/#/so-tay-sv/69/ban-dao-tao-huong-dan-thu-tuc-bieu-mau-thac-mac-ve-hoc-tap-hoc-phi,2026-08-03,2026-07-30,public-official-source
hust-training-plan-2026-2027,data/k3_university/hust-training-plan-2026-2027.md,Kế hoạch đào tạo năm học 2026-2027 và các năm trước,https://sv-ctt.hust.edu.vn/#/so-tay-sv/77/ke-hoach-dao-tao-nam-hoc-2026-2027-va-cac-nam-truoc,2026-08-03,2026-07-30,public-official-source
hust-tuition-2025-2026,data/k3_university/hust-tuition-2025-2026.md,Mức học phí các chương trình đào tạo năm học 2025-2026,https://sv-ctt.hust.edu.vn/#/so-tay-sv/103/muc-hoc-phi-cac-chuong-trinh-dao-tao-nam-hoc-2025-2026,2026-08-03,2026-07-30,public-official-source
hust-notebooklm-academic-regulations,data/k3_university/hust-notebooklm-academic-regulations.md,Ứng dụng (AI) NotebookLM trong Học tập - Tìm hiểu quy chế,https://sv-ctt.hust.edu.vn/#/so-tay-sv/127/ung-dung-ai-notebooklm-trong-hoc-tap-tim-hieu-quy-che,2026-08-03,2026-07-30,public-official-source
hust-ta-quang-buu-library-guide,data/k3_university/hust-ta-quang-buu-library-guide.md,Hướng dẫn sử dụng Thư viện Tạ Quang Bửu,https://library.hust.edu.vn/sites/default/files/06.09.2023-%20B%C3%A0i%20gi%E1%BA%A3ng%20C2%20%28K68%29.pdf,2026-08-03,2023-09-06,public-official-source
