doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vnu-training-overview,data/k3_university/vnu-training-overview.md,Giới thiệu chung,https://vnu.edu.vn/dao-tao/gioi-thieu-chung,2026-08-03,not-stated,public-page
vnu-scholarship-management-regulation,data/k3_university/vnu-scholarship-management-regulation.md,Quy định về quản lý và sử dụng học bổng tại Đại học Quốc gia Hà Nội,https://vnu.edu.vn/quy-dinh-ve-quan-ly-va-su-dung-hoc-bong-tai-dai-hoc-quoc-gia-ha-noi-post10552.html,2026-08-03,not-stated,public-page
vnu-secondary-and-high-school-education,data/k3_university/vnu-secondary-and-high-school-education.md,Đào tạo hệ THCS và THPT,https://vnu.edu.vn/dao-tao/dao-tao-he-thcs-va-thpt,2026-08-03,not-stated,public-page
vnu-student-loans,data/k3_university/vnu-student-loans.md,Hỗ trợ sinh viên vay vốn,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/vay-von,2026-08-03,not-stated,public-page
vnu-career-support,data/k3_university/vnu-career-support.md,Tư vấn hỗ trợ việc làm,https://vnu.edu.vn/sinh-vien/ho-tro-sinh-vien/tu-van-ho-tro-viec-lam,2026-08-03,not-stated,public-page
